customer_id,first_name,last_name,email,phone,signup_date,membership_type
1,Daniel,Figueroa,jeffreydoyle@example.net,001-581-896-0013x3890,2026-01-17,Premium-Fleet
2,Shane,Ramirez,blakeerik@example.com,942-335-1161x55940,2025-02-26,Pay-As-You-Go
3,Nicholas,Arnold,barbara10@example.net,441.731.6475,2026-08-25,Pay-As-You-Go
4,Jason,Adams,lynchgeorge@example.net,527.264.8350,2025-06-10,Premium-Fleet
5,Leslie,Adams,robinbradley@example.net,837-767-2423x88496,2026-05-26,Monthly-Pass
6,Wendy,Taylor,ddavis@example.org,(626)291-6697,2025-02-25,Pay-As-You-Go
7,Jennifer,Maldonado,kayla51@example.com,(727)404-8281x48932,2026-02-18,Pay-As-You-Go
8,Stephanie,Nielsen,georgetracy@example.org,(443)903-9117x182,2025-10-31,Pay-As-You-Go
9,Frederick,Rose,ibrandt@example.net,001-734-265-7871x331,2025-11-09,Premium-Fleet
10,Angela,Chapman,jonescrystal@example.org,405-918-3473,2025-12-08,Pay-As-You-Go
11,Kristen,Aguirre,clintonhopkins@example.com,(467)801-0651x33387,2025-03-15,Premium-Fleet
12,Joshua,Wright,ramosmichelle@example.net,908-501-3267,2025-01-28,Premium-Fleet
13,Richard,Brown,ysmith@example.com,246.787.2343x098,2026-07-11,Premium-Fleet
14,Brendan,Woods,brianromero@example.org,291-336-1939,2024-10-22,Pay-As-You-Go
15,Diane,Cunningham,sarah35@example.org,362-547-5107x991,2025-07-30,Premium-Fleet
16,Joseph,Mahoney,suarezmike@example.org,384.498.0841x241,2025-10-05,Monthly-Pass
17,Juan,Clark,james48@example.com,801-264-0052x427,2025-04-07,Pay-As-You-Go
18,Charles,Ware,amydavenport@example.net,+1-526-520-4505,2024-12-03,Pay-As-You-Go
19,Curtis,Deleon,vdickson@example.org,622.460.2563,2026-02-08,Pay-As-You-Go
20,Jacqueline,Reyes,garrisonjeffrey@example.com,(843)730-3654x145,2026-05-12,Pay-As-You-Go
21,Anthony,Wiley,gregory40@example.org,+1-265-856-9816x934,2026-09-07,Pay-As-You-Go
22,April,Drake,michaeljones@example.net,895-814-8465x64823,2024-09-09,Premium-Fleet
23,Kaitlin,Thompson,richard04@example.com,969.495.7773,2026-02-16,Premium-Fleet
24,Christopher,Robertson,clarence34@example.org,820.503.7917,2026-02-01,Pay-As-You-Go
25,Heather,Snyder,dylanwatts@example.org,001-763-928-7083x17278,2026-03-19,Premium-Fleet
26,Lisa,Mcclain,jrivas@example.com,(677)943-4873,2025-12-27,Pay-As-You-Go
27,Jennifer,Young,luis81@example.org,(936)823-1665,2024-11-07,Premium-Fleet
28,Jamie,Fisher,gateskathy@example.com,805.946.6889x3734,2024-10-26,Premium-Fleet
29,Paul,Caldwell,dramsey@example.org,+1-280-669-9016x272,2024-09-30,Premium-Fleet
30,Mark,Gibson,kathleen64@example.com,517-208-0531x003,2025-06-29,Premium-Fleet
31,Elijah,Martinez,elliottjeffery@example.net,852-899-1241x904,2026-01-03,Monthly-Pass
32,James,Vargas,curtisbarton@example.net,+1-819-905-8651x850,2026-03-17,Pay-As-You-Go
33,Ryan,Cox,bzimmerman@example.org,001-684-998-7769x4531,2024-11-28,Monthly-Pass
34,Karen,Hudson,frogers@example.com,(273)554-5494,2025-03-16,Premium-Fleet
35,John,Russell,hannahbrewer@example.com,701.843.6349x578,2024-11-13,Monthly-Pass
36,Andrea,Bell,qnelson@example.org,635-618-2337,2026-04-10,Pay-As-You-Go
37,Marissa,Phillips,harry08@example.org,900-984-2710x947,2024-11-25,Pay-As-You-Go
38,Jack,Williams,ewilson@example.com,519.802.2941x3186,2025-05-30,Premium-Fleet
39,Rebekah,Evans,ntorres@example.org,+1-213-834-1232x812,2025-08-23,Monthly-Pass
40,Hannah,Harrison,halljasmine@example.net,413.349.3618x324,2025-08-23,Monthly-Pass
41,Gabriel,Parker,scott74@example.net,(248)387-7190x6594,2024-10-24,Monthly-Pass
42,Suzanne,Huff,keyemily@example.com,001-802-978-7429,2025-03-04,Pay-As-You-Go
43,Theodore,Ortiz,elizabeth25@example.com,001-874-268-0715x451,2024-11-17,Pay-As-You-Go
44,Molly,Murray,lopezmichael@example.com,+1-570-434-8247x7109,2026-01-31,Monthly-Pass
45,Andrea,Tran,walkermaureen@example.org,412.874.8467x737,2025-05-07,Pay-As-You-Go
46,Sandra,Romero,michellehill@example.com,784-804-4997x27875,2025-02-03,Pay-As-You-Go
47,Sarah,Kane,ashleyhall@example.com,7573662702,2025-08-27,Monthly-Pass
48,Megan,Garcia,jsmith@example.com,+1-921-274-5961x5865,2026-07-19,Pay-As-You-Go
49,Casey,Welch,wendy16@example.org,001-517-824-0050x45562,2025-12-31,Monthly-Pass
50,Erin,White,christianpitts@example.net,+1-437-392-3747x40748,2025-11-21,Monthly-Pass
51,Sierra,Huerta,danielle64@example.com,836-671-3695x9440,2025-08-17,Premium-Fleet
52,Ashlee,Jennings,lozanojulie@example.com,001-739-453-3942x10470,2024-09-14,Monthly-Pass
53,Renee,Murphy,ithompson@example.net,(488)542-4745x171,2024-11-17,Pay-As-You-Go
54,Erica,Craig,zcoffey@example.net,(716)304-8175x496,2026-07-08,Premium-Fleet
55,Jesus,Johnson,rose31@example.net,446.812.0047x113,2026-02-14,Monthly-Pass
56,Nathan,Avery,umatthews@example.org,(717)796-4053x77351,2025-08-26,Premium-Fleet
57,Raymond,Lopez,rushmadison@example.org,+1-539-500-5329x31839,2024-10-25,Pay-As-You-Go
